"","genre","artist_name","track_name","track_id","popularity","acousticness","danceability","duration_ms","energy","instrumentalness","key","liveness","loudness","mode","speechiness","tempo","time_signature","valence"
"5687","Rap","Tory Lanez","48 Floors (feat. Mansa)","36wy8sKYBYQKdOBeqA5F0U",56,0.725,0.443,223587,0.47,1.06e-06,"A#",0.101,-8.587,"Major",0.101,82.546,"4/4",0.483
"5688","Opera","Giacomo Puccini","La bohème, Act I, Scene 6: ""Che gelida manina"" (Rodolfo)","10xWMYXG6vlNpvZ0q8WIXg",20,0.986,0.155,298853,0.143,0.0109,"G#",0.628,-15.992,"Major",0.0453,70.117,"4/4",0.0779
"5689","Movie","Donny Osmond","True Love","0ZgHjiBwrm46F0uzJI3USx",7,0.785,0.483,199893,0.525,0.00115,"C",0.0928,-9.175,"Major",0.0266,92.74,"4/4",0.612
"5690","Movie","Kristin Chenoweth","""My Play by Somerset Maugham...""","4se7Ym3TmC1CXhMg9Zh149",3,0.835,0.674,45840,0.342,0,"F#",0.145,-14.58,"Minor",0.906,145.219,"5/4",0.63
"5691","Reggaeton","Combinacion De La Habana","Déjala Que Vuelva y Se Preparo","0IP9qQoeMw6K4uJdlWJRUS",49,0.125,0.738,261648,0.729,0,"A",0.0326,-8.145,"Minor",0.0669,91.075,"4/4",0.833
"5692","Ska","Happy Drunk Cartel","Happy Drunx","6KBl75IE50fbkE9DlGaUar",14,0.00545,0.365,200000,0.972,0,"G",0.169,-3.208,"Major",0.154,186.94,"4/4",0.498
"5693","Pop","Mike WiLL Made-It","Buy The World","01A7PEPSnmtixFPfB2UTal",63,0.0436,0.794,226693,0.63,0.000614,"B",0.229,-6.109,"Minor",0.103,119.98,"4/4",0.205
"5694","World","Amadou & Mariam","Djanfa","2mmimdTg0RnP7fFxTa7Nel",36,0.537,0.587,253960,0.737,1.47e-05,"E",0.254,-6.127,"Minor",0.0295,160.067,"4/4",0.894
"5695","Children's Music","Children Songs Company","Dance Jump","4sN62jBUVBQQ9F8tdSQPlF",0,0.135,0.654,205720,0.567,0.966,"A#",0.101,-12.38,"Minor",0.0331,122.495,"4/4",0.663
"5696","Hip-Hop","Ski Mask The Slump God","Bird Is The Word","5Dnrmze6QgKbhygpR2u5U9",58,0.468,0.854,238853,0.53,0,"C",0.0772,-6.973,"Major",0.22,119.992,"4/4",0.562
"5697","Indie","Vansire","That I Miss You","7cneuh5BMBbqbbGrpqTDHQ",59,0.306,0.779,140116,0.572,0.739,"E",0.106,-9.259,"Major",0.0396,114.994,"4/4",0.967
"5698","Opera","Richard Wagner","The Flying Dutchman: Ouverture","0f592fNv0aXk0rINxaQtje",12,0.967,0.164,631480,0.146,0.902,"G",0.127,-18.915,"Major",0.0362,97.951,"4/4",0.0368
"5699","Movie","Alan Menken","The Prophecy","3m8ej3lZ47yndhFc08jeMP",29,0.92,0.118,53907,0.184,0.52,"C",0.152,-12.669,"Minor",0.0343,91.101,"4/4",0.0356
"5700","Classical","Kim André Arnesen","Arnesen: MAGNIFICAT 2. Ecce enim","4BgHWnTJz1hoFoeBi6mE8j",31,0.856,0.193,360773,0.118,0.442,"A",0.1,-20.24,"Minor",0.0401,81.41,"4/4",0.0324
"5701","Dance","Nina Nesbitt","Is It Really Me You're Missing","2lgyZWQSJWmswrLJyM27kB",72,0.653,0.535,232800,0.297,0,"F#",0.118,-6.043,"Major",0.0665,147.569,"4/4",0.0492
"5702","Pop","Lauren Alaina","Ladies In The '90s","4Whem9s6OoP7yFT60m2tU9",63,0.0414,0.644,225040,0.882,0,"G",0.34,-3.146,"Major",0.0643,99.861,"4/4",0.55
"5703","Folk","Phoebe Bridgers","Smoke Signals (Reprise)","3UUz1N3H9Mfvk9Rkww6P4T",42,0.995,0.67,33813,0.023,0.832,"G",0.0837,-17.705,"Minor",0.0682,100.26,"4/4",0.365
"5704","Electronic","The Knife","We Share Our Mother's Health - Trentemoeller Remix","2KKTfBO8pKt8bkvzEjoEIq",38,0.00126,0.762,449613,0.628,0.271,"C#",0.0852,-11.231,"Major",0.0493,123.004,"4/4",0.323
"5705","Children’s Music","Washed Out","New Theory","4i13Vno2UPtn6kp2Ge9N2J",50,0.037,0.574,168680,0.865,0.283,"G",0.17,-1.888,"Major",0.041,100.527,"4/4",0.39
"5706","Reggaeton","Daddy Yankee","Rompe - Album Version (Edited)","0Yfwk2vfux04TgKCDw4Er6",24,0.0384,0.801,191587,0.762,0,"C#",0.0755,-7.71,"Minor",0.0807,88.054,"4/4",0.563
"5707","Movie","Henri Salvador","Ma Pipe 'Shimmy Baby' - Remastered","4aBqGrZOPbe7C6DFCKibZQ",7,0.0361,0.513,143640,0.663,7.87e-06,"G",0.59,-7.402,"Major",0.0678,82.168,"4/4",0.589
"5708","Folk","Annie Lennox","Why","2fYYmPNwDaNpw1KRSxpQ5H",62,0.28,0.531,293838,0.471,6.22e-05,"C",0.133,-9.267,"Major",0.0236,90.941,"4/4",0.119
"5709","Soul","Alicia Keys","Elaine Brown (Interlude)","7wobmC9Xz4stYN1ZVLWgi5",35,0.955,0.673,50187,0.364,0,"A",0.28,-12.828,"Minor",0.901,89.549,"1/4",0.705
"5710","Hip-Hop","Meek Mill","Lord Knows (feat. Tory Lanez)","57hCSu4zMTdnSum7NBL1Ye",64,0.0168,0.434,318840,0.695,0,"A#",0.834,-7.464,"Minor",0.485,167.309,"4/4",0.16
"5711","Electronic","Poshlaja Molli","CTRL+Zzz","5arLete9nDkm69O6XC8d6T",36,0.0192,0.623,184118,0.643,6.6e-05,"F#",0.326,-7.514,"Major",0.0326,137.025,"4/4",0.67
"5712","Reggaeton","Lito y Polaco","Si Ella Es Brava","528JxySrqlt2ZCYWEAM1e7",31,0.149,0.82,164840,0.793,0,"D",0.559,-4.958,"Major",0.168,95.009,"4/4",0.456
"5713","R&B","John Legend","Tonight (Best You Ever Had)","17zF2ISrDrQdaULA8cxReK",63,0.0496,0.693,239453,0.813,0,"G",0.289,-4.361,"Minor",0.066,90.008,"4/4",0.515
"5714","Rock","The Beatles","For No One - Remastered 2009","1kDkaFlmkdEZiVUogaP9OZ",63,0.783,0.483,119813,0.351,0,"C#",0.115,-10.487,"Minor",0.0278,81.208,"4/4",0.713
"5715","Hip-Hop","Cousin Stizz","Did It","5hM2hG4lTZQMlqIWG2usz3",47,0.0566,0.931,210267,0.556,0,"G#",0.196,-5.119,"Minor",0.187,140.012,"4/4",0.419
"5716","Ska","Reel Big Fish","A Fond Adieu - Live","5yaQ1Y2KjpxAseDatueyZL",15,0.752,0.703,126733,0.521,3.86e-06,"G#",0.525,-10.201,"Major",0.389,73.125,"4/4",0.688
"5717","Reggae","Snoop Lion","So Long","0NNhBrOgOupPYRQ6m2UzKK",44,0.0303,0.627,220333,0.684,0,"B",0.0741,-7.153,"Major",0.0794,139.868,"4/4",0.83
"5718","Country","Keith Urban","Sun Don't Let Me Down","3TiOpwAlLf0kqa6EeN4YrO",47,0.00603,0.695,203133,0.883,0,"F#",0.0584,-4.861,"Minor",0.0445,108.011,"4/4",0.751
"5719","Soundtrack","Patrick Doyle","Fairy Godmother","6GPOoVPo3Y7Yh4tMcJ6KN9",33,0.92,0.13,167880,0.0415,0.803,"D",0.335,-21.306,"Minor",0.0417,82.633,"4/4",0.0608
"5720","Rock","Breaking Benjamin","Sooner Or Later","6VGKfZmYkkMsd2pij0jNiF",54,0.00206,0.491,218800,0.858,0.00951,"C",0.0857,-4.764,"Minor",0.0573,92.797,"4/4",0.454
"5721","Dance","Christina Perri","bluebird","4NpGJZC2cL5RYbzFfbcEVE",49,0.433,0.423,229600,0.46,0,"C",0.0701,-7.587,"Major",0.0454,125.106,"4/4",0.266
"5722","Soul","L.T.D.","Love Ballad","3iCbTmcXnKlRZCdaYOukxq",52,0.404,0.604,275227,0.386,0.000491,"F#",0.0899,-14.724,"Minor",0.0407,77.927,"4/4",0.38
"5723","Anime","Akiko Shikata","Pitalacta ~Hiduchi No Mai~","5XFeTMFPCg6AbmRpE0NYoy",16,0.123,0.325,203453,0.822,1.28e-06,"C",0.297,-4.452,"Major",0.0528,185.942,"4/4",0.294
"5724","Jazz","Thievery Corporation","Focus On Sight","0Qgjp40oW0V3dkELgXA3LT",38,0.0726,0.729,227307,0.901,0.909,"G",0.108,-7.689,"Major",0.0389,106.007,"4/4",0.213
"5725","Reggaeton","Don Omar","Ella Ella","7AObnx2EzL6FeYjmdjPCoA",48,0.188,0.821,202600,0.667,0,"C",0.0647,-5.845,"Minor",0.124,96.415,"4/4",0.688
"5726","Classical","Will Todd","My Lord Has Come","1iKtNCRdJ59nWr0dpocU7t",22,0.99,0.162,217773,0.046,0.442,"C",0.0904,-24.104,"Major",0.0466,91.893,"3/4",0.0357
"5727","Jazz","Streetwize","Lost Without U","1rF9fWWlQ7jUeSL8igUclM",30,0.54,0.537,313653,0.628,0.847,"C",0.0621,-8.273,"Major",0.0554,81.346,"4/4",0.808
"5728","Anime","Hitoshizuku,Yama","愛欲のプリズナー","5JH4qPc1oqUYIiLS92AxUo",16,0.163,0.701,203738,0.932,0,"A",0.115,-2.243,"Minor",0.0639,117.107,"4/4",0.815
"5729","Alternative","Jack White","Sixteen Saltines","3XBPCbTU9rSGuyuK7Xbj4B",50,0.0136,0.603,155720,0.868,7.04e-06,"B",0.0767,-7.891,"Minor",0.0887,131.519,"4/4",0.68
"5730","Rap","Hollywood Undead","Dead Bite","5qnF4Ss6NHiUX45HryKEol",55,0.0901,0.665,218267,0.908,0,"C",0.917,-4.562,"Major",0.127,96.039,"4/4",0.653
"5731","Children's Music","Party Time Kids Band","The Twist","4fITFCbG3ZBlcucm7VMb5I",0,0.000322,0.59,156387,0.709,1.51e-06,"E",0.0696,-7.729,"Major",0.0283,154.998,"4/4",0.84
"5732","Alternative","DaniLeigh","Life","65TWxOzFQlUjwgl2MmLQBM",43,0.262,0.908,140507,0.623,1.93e-05,"C",0.205,-6.754,"Major",0.0648,129.968,"4/4",0.576
"5733","Blues","Clutch","Earth Rocker","26vGXL80873wfoGhBGpFSn",33,0.00572,0.497,211093,0.984,1.02e-05,"A",0.0727,-4.976,"Major",0.131,160.046,"4/4",0.363
"5734","World","Manu Chao","Politik Kills","30lSxBNu8T2Vi1FZMrxJsN",44,0.00379,0.763,182667,0.417,0.0241,"E",0.192,-11.086,"Minor",0.0673,83.995,"4/4",0.642
"5735","Blues","Steve Miller Band","Dance, Dance, Dance","1HOOLt3ndtOwQf8ega2C4C",39,0.343,0.476,139160,0.568,0,"G",0.162,-11.047,"Major",0.0607,95.322,"4/4",0.884
"5736","Rap","P.O.D.","Alive - 2006 Remastered Version","3IRovqSVYx3CNtDWRebsET",60,1.23e-05,0.409,203693,0.952,0.000156,"D",0.31,-3.761,"Minor",0.0756,80.899,"4/4",0.55
"5737","Pop","Metro Boomin","10 Freaky Girls (with 21 Savage)","0AluA5RNsa4Cx6XRhf2hWZ",85,0.588,0.81,208293,0.353,0,"F#",0.102,-9.931,"Minor",0.31,88.031,"4/4",0.0727
"5738","R&B","James Morrison","Feels Like The First Time","5EskCxy8YG6UKPbIzBH4Gt",39,0.0354,0.621,253187,0.707,0,"C",0.0868,-5.065,"Major",0.0295,95.457,"4/4",0.632
"5739","Dance","Usher","You Make Me Wanna...","47TqCCnEliDp8NRDyIQoQq",69,0.0359,0.761,219120,0.639,0,"F",0.0945,-7.577,"Minor",0.0539,164.088,"4/4",0.922
"5740","Anime","yanaginagi","カザキリ","1xG2Ox9lBASGEPe0sFV3UY",21,0.334,0.419,227773,0.884,0,"F#",0.133,-4.069,"Major",0.0651,167.002,"4/4",0.661
"5741","R&B","Roy Woods","Sonic Boom","5Z4mLHUiNoc23UktrfthED",48,0.558,0.409,184874,0.437,0.0193,"F",0.0799,-10.134,"Minor",0.0339,141.961,"3/4",0.149
"5742","Blues","Tab Benoit","These Arms of Mine","18lkGiURliMJVUkJwqUWhA",25,0.734,0.478,257573,0.333,0.00121,"A",0.112,-8.672,"Major",0.0447,168.97,"3/4",0.35
"5743","Indie","Ripe","Young Tom Rose","3YoH1yG6yFgqUQDiMVz2NO",44,0.116,0.622,333557,0.626,6.42e-06,"B",0.0742,-4.362,"Minor",0.0577,157.502,"4/4",0.737
"5744","Indie","Smallpools","Beggar","4iV12e14s7hzMEkFAkgeV2",43,0.0912,0.463,178667,0.833,2.35e-05,"F",0.342,-4.097,"Minor",0.177,149.788,"4/4",0.439
"5745","Comedy","Jim Norton","I Wish I Had a Gun Right Now","5E4xdhcIFQIy6GVhr52JiE",20,0.835,0.594,128733,0.768,0,"G",0.778,-12.002,"Minor",0.92,72.653,"3/4",0.34
"5746","Rock","KALEO","I Can't Go On Without You","1dX6oGAG5PaexuPj29PsYd",64,0.655,0.368,377000,0.267,2.24e-05,"G#",0.0834,-9.395,"Minor",0.0428,91.88,"4/4",0.194
"5747","Indie","Mac DeMarco","Chamber Of Reflection","1MJ5f5EYBC92ADD6xcz7nb",71,0.263,0.537,231724,0.558,0.91,"B",0.102,-8.678,"Major",0.0929,131.037,"4/4",0.505
"5748","Rap","Lil Wayne","Trippy","2SOsWLMZdA4XcWmkgSCdo4",46,0.0712,0.76,263453,0.605,0,"D",0.199,-6.085,"Major",0.502,135.995,"4/4",0.516
"5749","Anime","THE ORAL CIGARETTES","Kizukeyo Baby","3EEaEEltAaQAp0EhIwJEaK",47,0.001,0.57,253747,0.954,1.01e-05,"C#",0.325,-2.122,"Minor",0.0571,141.962,"4/4",0.936
"5750","Soul","Barbara Mason","Oh, How It Hurts","67x5PxH6RZAW7FXdVpXGKo",44,0.66,0.588,179733,0.36,0,"F#",0.218,-8.429,"Major",0.0298,148.396,"3/4",0.448
"5751","Children’s Music","Blu","Dancing In The Rain","5BegRQCcJu4trXT6PPdih9",51,0.251,0.569,265827,0.74,2.68e-06,"C",0.134,-6.235,"Major",0.283,180.559,"4/4",0.721
"5752","Reggae","Tarrus Riley","Read Between the Lines","6wP3QMGBfmr9NKQFbEVEn3",0,0.116,0.749,215876,0.648,0,"C",0.0816,-7.744,"Major",0.206,75.642,"4/4",0.905
"5753","Reggaeton","Gente De Zona","Mamá Me Lo Contó","7gUDfyfjTIcrFijLRvv6AX",44,0.132,0.753,245467,0.89,0,"D",0.0744,-3.631,"Major",0.0727,95.996,"4/4",0.926
"5754","Dance","The Psychedelic Furs","Love My Way","1mqytV5qZcmzG6MgvJCpkQ",63,0.0223,0.673,211573,0.686,0.000184,"C",0.0963,-12.194,"Major",0.0363,126.09,"4/4",0.662
"5755","Soundtrack","Trent Reznor and Atticus Ross","Less Likely","2UdGaof1MecKcrTOltLD85",34,0.93,0.155,380668,0.166,0.915,"C",0.104,-22.589,"Minor",0.041,67.753,"3/4",0.0389
"5756","Reggae","311","Speak Easy","6RlrkauU1xTw23aIHPbAZP",38,0.0174,0.625,206747,0.867,1.28e-05,"G",0.0806,-6.761,"Major",0.0685,174.602,"4/4",0.591
"5757","Blues","Louis Prima","Hey, Boy! Hey, Girl!","1JqoR8xggumOhg0I6RLMU0",29,0.54,0.66,174333,0.391,0,"G#",0.17,-11.412,"Major",0.0847,111.021,"4/4",0.911
"5758","Movie","Riders In The Sky","Don't Fence Me In","2MoHITkyurwMEt8fbZNW93",13,0.853,0.762,145573,0.291,0,"F",0.113,-10.328,"Major",0.0671,144.224,"4/4",0.836
"5759","Pop","Rihanna","Shut Up And Drive","4Tn2llBm1g0UlWctmgPL8Z",66,0.00101,0.735,212280,0.826,0.129,"C#",0.197,-4.902,"Major",0.0349,132.964,"4/4",0.74
"5760","Alternative","La Ley","El Duelo (feat. Ely Guerra)","1BH4LMGVMLBGc9uEJdm8D8",60,0.255,0.34,328907,0.445,0.000325,"E",0.694,-7.926,"Minor",0.0305,112.532,"4/4",0.17
"5761","Indie","Valley","There's Still A Light In The House","6fYjH3nS3NRxBRmIXsbDtX",57,0.024,0.62,203107,0.655,4.19e-05,"E",0.301,-8.525,"Major",0.0455,109.987,"4/4",0.335
"5762","Electronic","Görkem Han","Ocean","6HefMjw11JYeXEBWkWdOgC",36,0.0268,0.541,363076,0.646,0.767,"B",0.0923,-9.875,"Major",0.0401,80.048,"4/4",0.186
"5763","Children's Music","Music For Little People Choir","Baa, Baa Black Sheep","70ipAb0jcJZrU7QgbNnVwC",11,0.59,0.743,105093,0.232,0,"C",0.108,-14.626,"Major",0.0502,102.18,"4/4",0.596
"5764","Children’s Music","Wet","There's a Reason","4ilNy4QN9MKeNifDxT6za9",52,0.308,0.619,198693,0.587,0.036,"B",0.13,-7.02,"Major",0.0362,104.971,"4/4",0.264
"5765","Comedy","Maria Bamford","Arch Enemy From High School","3mJZy4fCdg2NHpnvaGmkIv",19,0.759,0.513,91613,0.847,0,"C#",0.704,-8.602,"Major",0.934,86.963,"3/4",0.687
"5766","Ska","The Vandals","Soccer Mom","4aYnNoIQjhfTEly3N18Lh4",18,0.000264,0.361,175507,0.95,5.26e-06,"E",0.143,-3.403,"Major",0.121,173.275,"4/4",0.694
"5767","Electronic","San Holo","Welcome","1FY6iVwJUIiHGmrBIlqkga",35,0.0129,0.487,93103,0.56,0.00572,"C",0.0884,-8.321,"Major",0.0333,145.169,"4/4",0.317
"5768","World","Ian William Craig","Before Meaning Comes","1T8YONUfkmHPqmUueSYq0V",35,0.975,0.298,192560,0.115,0.962,"B",0.085,-26.835,"Major",0.0519,129.734,"3/4",0.348
"5769","Dance","One Direction","Save You Tonight","3fg1UERgNjYfHETakq27Hs",46,0.00621,0.604,204280,0.867,0,"D",0.275,-4.209,"Minor",0.0546,128.082,"4/4",0.489
"5770","Country","Sara Evans","Slow Me Down","6Zf4AMWgnUDobtAixiIqnZ",42,0.214,0.597,196160,0.602,0.00032,"G",0.313,-4.99,"Major",0.0292,91.999,"4/4",0.262
"5771","Alternative","The Menzingers","After the Party","3cnD0uH9C0AY4oxmb84gpc",50,0.000269,0.209,230323,0.962,6.97e-05,"C#",0.15,-4.435,"Major",0.0482,184.267,"4/4",0.351
"5772","Folk","Car Seat Headrest","Destroyed By Hippie Powers","5xy3350chgFfFcdTET4xz3",51,0.0106,0.534,303573,0.663,0.0184,"A",0.0708,-5.679,"Major",0.0395,104.927,"4/4",0.315
"5773","Movie","Pearl Bailey","Cakewalk Your Lady","3mLNrBlboUsVm3MLheWRod",0,0.902,0.791,173952,0.2,0,"G",0.531,-17.129,"Major",0.168,124.221,"4/4",0.962
"5774","Soul","Lyves","Certain Things","4sF2wDx1MxFb5o3lz3Ba7z",45,0.105,0.509,263289,0.567,0.00424,"F",0.113,-7.215,"Minor",0.0471,79.584,"4/4",0.3
"5775","Reggaeton","Voltio","Bumper","5Ybn6P9WRSYJPHtu1KJGTm",31,0.164,0.843,212533,0.889,0,"B",0.259,-5.462,"Major",0.231,95.988,"4/4",0.645
"5776","World","William Matthews","In The Grey","7lJW5ckd2dqOCrkHcCRHXe",28,0.212,0.444,217733,0.565,0,"C",0.252,-7.387,"Major",0.0501,89.843,"4/4",0.161
"5777","Rap","Flo Rida","I Cry","4bZd0nRuX8HyjeXAUBczvm",63,0.00616,0.693,223800,0.822,1.79e-06,"E",0.315,-5.441,"Minor",0.0439,126.035,"4/4",0.763
"5778","Soul","Mary J. Blige","Not Gon' Cry","78wi1g772j8eJPEnD8rr9z",48,0.652,0.764,298173,0.41,0,"D",0.0784,-8.988,"Minor",0.0418,110.158,"4/4",0.43
"5779","Blues","Foghat","Slow Ride - Single Version","652slWGolpsuaHh4Ve0yvj",35,0.0159,0.495,236600,0.695,0.00176,"D",0.0679,-11.581,"Major",0.0351,113.139,"4/4",0.716
"5780","Indie","The Oh Hellos","Dear Wormwood","2dtcNplc1W8GFAo9LPzLri",57,0.227,0.519,316067,0.601,0.007,"B",0.112,-10.409,"Minor",0.033,158.055,"4/4",0.164
"5781","Opera","Jean-Baptiste Lully","Psyche: Act V Scene 3: Finale: Chantons les Plaisirs charmants (Chorus)","2X7Xf5FlblhgCnE8eglp2J",17,0.922,0.352,114387,0.311,0.0168,"C",0.27,-11.949,"Major",0.0363,115.712,"4/4",0.235
"5782","Indie","Hayley Kiyoko","What I Need (feat. Kehlani)","5nFyaoBWwwMJ9fv33tZ2MB",71,0.0537,0.633,219520,0.793,0,"A#",0.16,-4.126,"Major",0.055,103.97,"4/4",0.414
"5783","Folk","Alison Krauss & Union Station","The Lucky One","4r0fmoYioAgmkLboiXVC7l",46,0.831,0.434,190467,0.359,0.000102,"A#",0.115,-11.278,"Major",0.032,168.826,"4/4",0.739
"5784","Movie","Chantal Goya","Mañana (Demain)","0jxmYkmMd2PhGIK0fqo4BJ",0,0.924,0.345,142653,0.538,0.0035,"A#",0.16,-10.133,"Major",0.029,81.831,"4/4",0.549
"5785","Opera","Gioachino Rossini","Il barbiere di Siviglia (The Barber of Seville): Il Barbiere di Siviglia (The Barber of Seville): Overture","4Stnuy9urhToBMtSUSnxWz",11,0.844,0.292,466000,0.0777,0.444,"E",0.0797,-24.149,"Major",0.0639,171.181,"4/4",0.27
"5786","Movie","Fess Parker","Ole Kit Carson","35o0YW2JnYdXQlh8cWNHRX",12,0.75,0.768,156907,0.572,2.09e-06,"A#",0.117,-14.019,"Major",0.0434,106.741,"4/4",0.905
"5787","Dance","Jonas Blue","Polaroid - Acoustic","2f2gz6LZSz67HWq84Hqn2j",61,0.775,0.617,217587,0.34,0,"G",0.11,-7.825,"Minor",0.029,101.58,"4/4",0.517
"5788","Country","Terri Clark","When Boy Meets Girl","4mXldSx5L14Pd7JcVuam0P",36,0.367,0.691,181733,0.66,0,"C#",0.258,-6.34,"Major",0.0277,118.677,"4/4",0.806
"5789","Comedy","Matt Braunger","Christmas Songs Are Terrifying, Cadbury Cream Eggs","4Dr76Q5E4KtUVGz1dUMB38",19,0.867,0.569,240267,0.894,0,"F#",0.826,-5.685,"Major",0.861,113.193,"5/4",0.364
"5790","R&B","Eric Bellinger","TR2 Intro","4P8UwagYRIUdsLRfSt0G0E",48,0.627,0.529,92436,0.427,1.13e-06,"F",0.578,-11.318,"Minor",0.435,121.963,"4/4",0.592
"5791","Jazz","Odd Chap","Sound 102 (Extended)","7GD9J6QgYtNRtPRLW2Y9Ro",34,0.0368,0.71,320997,0.961,0.676,"F#",0.188,-5.616,"Minor",0.211,123.051,"4/4",0.353
"5792","Folk","Hozier","It Will Come Back","1iugFsBigGHtRwvFVDG9oo",59,0.382,0.5,277653,0.446,4.83e-06,"C",0.159,-7.7,"Minor",0.0338,86.425,"4/4",0.154
"5793","World","Don Moen","Deeper in Love","0SaG6jCJlcKC9xodb2eEtk",47,0.767,0.579,273027,0.467,1.78e-05,"D",0.0776,-8.215,"Major",0.0258,111.832,"4/4",0.115
"5794","World","Planetshakers","Turn It Up - Live","0th8QfbS45rUXwuRkk1xsX",55,0.000868,0.548,224653,0.989,0,"E",0.444,-2.973,"Major",0.103,123.988,"4/4",0.277
"5795","Blues","Clutch","Spirit of '76","2tn5aNweqOO4D4pdjuWsx6",32,0.000942,0.375,218723,0.806,0.0625,"G",0.15,-6.437,"Major",0.0392,157.013,"4/4",0.499
"5796","Pop","Ally Brooke","Low Key (feat. Tyga)","7xhvCzIguRfyfQyGrnWuVn",73,0.369,0.79,201385,0.546,2.55e-06,"F#",0.128,-5.553,"Minor",0.0383,109.014,"4/4",0.748
"5797","Children’s Music","Peach Tree Rascals","Plus","36ynI67Vq1Bz52vEIQMWyy",49,0.879,0.694,272718,0.364,1.82e-06,"C#",0.0918,-7.978,"Major",0.121,88.992,"4/4",0.565
"5798","Opera","Geminiano Giacomelli","Merope: Sposa, non mi conosci","3En11E0NJfavi6IBRq38Ge",8,0.966,0.358,601133,0.0428,0.000268,"E",0.0831,-22.055,"Minor",0.0499,111.143,"4/4",0.04
"5799","Children’s Music","Janelle Monáe","Django Jane","56RfNBJGUgL1ZFCB1KEJrQ",61,0.49,0.833,190288,0.624,0,"B",0.117,-6.306,"Major",0.325,101.96,"4/4",0.26
"5800","Blues","The Byrds","Eight Miles High","2BGNomqCxEDcXyxf8bg27k",53,0.21,0.364,214640,0.768,0.136,"A",0.503,-10.492,"Major",0.0757,130.602,"4/4",0.37
"5801","R&B","Eric Bellinger","Your Favorite Song","3Oft9iy2SGJHJf4QQy5sMI",41,0.628,0.56,294243,0.282,0,"D",0.0963,-10.772,"Minor",0.191,120.456,"4/4",0.144
"5802","Folk","Shakey Graves","O Death","49EK30WCMpXBcsEIka9TSi",42,0.809,0.538,292493,0.0966,1.92e-05,"C",0.217,-16.713,"Minor",0.0726,121.947,"4/4",0.444
"5803","Opera","Georges Bizet","Carmen, WD 31 / Act 1: Votre mère avec moi sortait de la chapelle (Micaela, Don José)","35NEYfWKnn7fPSBePljnVE",8,0.983,0.338,140333,0.109,0.000226,"A#",0.207,-21.181,"Major",0.0461,68.979,"4/4",0.103
"5804","Blues","Canned Heat","Looking for My Rainbow - Live","7hzRbKXRgNwgmyajzDOdER",28,0.486,0.502,478853,0.375,6.38e-05,"G",0.174,-10.851,"Major",0.074,96.791,"4/4",0.566
"5805","Reggae","311","Unity","2zVZuMxSr6WJzzVKjWH7yv",27,0.00175,0.505,206867,0.951,1.65e-06,"A",0.189,-5.867,"Major",0.128,144.026,"3/4",0.509
"5806","Country","Rascal Flatts","I Melt","02UnamzTn2rySwzcMkq5qx",48,0.207,0.556,234253,0.712,1.99e-05,"A",0.318,-4.398,"Major",0.0346,140.031,"4/4",0.164
"5807","Comedy","Doug Benson","Taken yet Again","2wM7O0pfw094QkSmiLg0b9",13,0.802,0.49,76882,0.884,1.97e-06,"D",0.887,-11.964,"Major",0.907,115.198,"3/4",0.351
"5808","Dance","Niykee Heaton","Champagne","6cZC4pSjcJUAeBRq1xgonl",47,0.037,0.595,251454,0.828,2.48e-06,"F#",0.107,-5.177,"Minor",0.0475,131.984,"4/4",0.456
"5809","Classical","Frédéric Chopin","12 Etudes, Op.25: No.6 in G sharp minor","4I1RVdVNYwCf17mqn0BiFA",32,0.984,0.31,130896,0.207,0.923,"C#",0.0924,-22.729,"Minor",0.0336,134.997,"4/4",0.282
"5810","Dance","*NSYNC","I Want You Back - Radio Edit","5AmRtvaQgLmZ7CxOxABq4Y",57,0.0743,0.754,199787,0.946,0.000391,"G#",0.401,-2.149,"Minor",0.0403,112.042,"4/4",0.865
"5811","Electronic","Global Communication","8:07","6GGiEKWDQbj9PZgLnEKSkQ",29,0.408,0.662,490653,0.528,0.868,"E",0.11,-15.635,"Minor",0.0615,109.954,"4/4",0.509
"5812","Ska","Maskatesta","Hace Tanto Tiempo","7KLqBkoTv2p6UbB7ypqmRe",40,0.00052,0.55,183884,0.935,0.00453,"A#",0.0782,-3.538,"Minor",0.0498,174.277,"4/4",0.961
"5813","Classical","Maurice Ravel","Le tombeau de Couperin, M. 68: No. 2, Fugue (Live)","2k8Qse1fWY94lHaX5t1AWw",0,0.995,0.29,134800,0.0981,0.836,"E",0.133,-28.327,"Minor",0.0429,118.77,"4/4",0.711
"5814","Soundtrack","Randy Newman","Monsters, Inc.","5e0O7MjhNHq9G67qDFM8nR",56,0.732,0.689,126387,0.478,0.638,"G#",0.141,-8.317,"Major",0.0292,109.953,"4/4",0.855
"5815","Rock","Weezer","In The Garage","3If9Idk1rglOqubIsJcpmv",52,0.000146,0.535,235707,0.71,0.000102,"F#",0.107,-6.969,"Major",0.0272,97.493,"4/4",0.324
"5816","R&B","Mahalia","Good Reason","0vk7EOTVGrsLiiuKOZPYps",47,0.719,0.634,214995,0.519,4.7e-05,"G",0.142,-8.602,"Major",0.0606,86.867,"4/4",0.244
"5817","Movie","Henri Salvador","Adieu adios","25kL0XVBAcUR3Bc5iihs55",0,0.0682,0.407,159973,0.457,0,"D#",0.21,-6.653,"Major",0.033,108.42,"4/4",0.484
